[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=TST, Owner=User-1, Creation date=12/09/2013 10:03:47"
Comment - 2,"Goniometer=PW3050/65 (Theta/2Theta); Minimum step size 2Theta:0,0001; Minimum step size Omega:0,0001"
Comment - 3,"Sample stage=MRD XL Cradle; Minimum step size Phi:0,01; Minimum step size Chi:0,01; Minimum step size X:0,01; Minimum step size Y:0,01; Minimum step size Z:0,001"
Comment - 4,"Diffractometer system=XPERT-PRO"
Comment - 5,"Measurement program=20170921_miscut_w3_0.01_phi360_15_0.1s, Owner=User-1, Creation date=22/09/2017 16:30:35"
Anode material,Co
K-Alpha1 wavelength,1.7890100
K-Alpha2 wavelength,1.7929000
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Receiving slit,0.10
Monochromator used,YES
Generator voltage, 40
Tube current, 45
File date and time,13/abr/2018 16:39
Unit cell,
h k l, 0 0 0
No. of scans, 24
Measurement step axis,Phi
Measurement step axis range,0.00,345.00,15.00
Scan axis,Omega
Scan range,25.7750,28.7650,0.0100000
No. of points per scan, 299
Scan type,CONTINUOUS
2Theta,54.5400
Psi,0.00
X,-1.12
Y,1.17
Z,4.312
Time per step,0.10
[Scan points]
Omega position, Phi position, Intensity
25.7800,0.00,0
25.7900,0.00,0
25.8000,0.00,0
25.8100,0.00,0
25.8200,0.00,0
25.8300,0.00,0
25.8400,0.00,0
25.8500,0.00,0
25.8600,0.00,0
25.8700,0.00,0
25.8800,0.00,0
25.8900,0.00,0
25.9000,0.00,0
25.9100,0.00,0
25.9200,0.00,0
25.9300,0.00,0
25.9400,0.00,1
25.9500,0.00,0
25.9600,0.00,0
25.9700,0.00,0
25.9800,0.00,0
25.9900,0.00,0
26.0000,0.00,0
26.0100,0.00,0
26.0200,0.00,0
26.0300,0.00,0
26.0400,0.00,0
26.0500,0.00,0
26.0600,0.00,0
26.0700,0.00,0
26.0800,0.00,0
26.0900,0.00,0
26.1000,0.00,0
26.1100,0.00,0
26.1200,0.00,0
26.1300,0.00,0
26.1400,0.00,0
26.1500,0.00,0
26.1600,0.00,0
26.1700,0.00,0
26.1800,0.00,0
26.1900,0.00,0
26.2000,0.00,0
26.2100,0.00,0
26.2200,0.00,0
26.2300,0.00,1
26.2400,0.00,0
26.2500,0.00,0
26.2600,0.00,0
26.2700,0.00,0
26.2800,0.00,0
26.2900,0.00,0
26.3000,0.00,0
26.3100,0.00,0
26.3200,0.00,0
26.3300,0.00,0
26.3400,0.00,0
26.3500,0.00,0
26.3600,0.00,0
26.3700,0.00,0
26.3800,0.00,0
26.3900,0.00,0
26.4000,0.00,0
26.4100,0.00,0
26.4200,0.00,0
26.4300,0.00,0
26.4400,0.00,1
26.4500,0.00,0
26.4600,0.00,0
26.4700,0.00,0
26.4800,0.00,0
26.4900,0.00,0
26.5000,0.00,0
26.5100,0.00,0
26.5200,0.00,0
26.5300,0.00,0
26.5400,0.00,0
26.5500,0.00,0
26.5600,0.00,1
26.5700,0.00,0
26.5800,0.00,1
26.5900,0.00,0
26.6000,0.00,0
26.6100,0.00,0
26.6200,0.00,0
26.6300,0.00,0
26.6400,0.00,0
26.6500,0.00,0
26.6600,0.00,0
26.6700,0.00,0
26.6800,0.00,1
26.6900,0.00,0
26.7000,0.00,0
26.7100,0.00,0
26.7200,0.00,0
26.7300,0.00,0
26.7400,0.00,0
26.7500,0.00,0
26.7600,0.00,1
26.7700,0.00,0
26.7800,0.00,0
26.7900,0.00,0
26.8000,0.00,0
26.8100,0.00,0
26.8200,0.00,0
26.8300,0.00,0
26.8400,0.00,0
26.8500,0.00,0
26.8600,0.00,0
26.8700,0.00,0
26.8800,0.00,0
26.8900,0.00,0
26.9000,0.00,0
26.9100,0.00,1
26.9200,0.00,0
26.9300,0.00,0
26.9400,0.00,0
26.9500,0.00,0
26.9600,0.00,0
26.9700,0.00,0
26.9800,0.00,2
26.9900,0.00,1
27.0000,0.00,2
27.0100,0.00,4
27.0200,0.00,4
27.0300,0.00,6
